,temperature_2m_mean,city,,,,,,,,,
238,26.2,Colombo,,,,,,,,,
239,25.8,Colombo,,,,,,,,,
240,25.1,Colombo,,,,,,,,,
241,25.1,Colombo,,,,,,,,,
242,25.8,Colombo,,,,,,,,,
243,26.2,Colombo,,,,,,,,,
244,26.2,Colombo,,,,,,,,,
245,26.5,Colombo,,,,,,,,,
246,26.2,Colombo,,,,,,,,,
247,26.4,Colombo,,,,,,,,,
248,26.1,Colombo,,,,,,,,,
249,26.5,Colombo,,,,,,,,,
250,26.5,Colombo,,,,,,,,,
251,26.2,Colombo,,,,,,,,,
252,25.8,Colombo,,,,,,,,,
253,26.7,Colombo,,,,,,,,,
254,26.5,Colombo,,,,,,,,,
255,26.2,Colombo,,,,,,,,,
256,26.1,Colombo,,,,,,,,,
257,26.1,Colombo,,,,,,,,,
258,26.6,Colombo,,,,,,,,,
259,27,Colombo,,,,,,,,,
260,25.9,Colombo,,,,,,,,,
261,26,Colombo,,,,,,,,,
262,26.3,Colombo,,,,,,,,,
263,25.8,Colombo,,,,,,,,,
264,25.8,Colombo,,,,,,,,,
265,25.4,Colombo,,,,,,,,,
266,25.1,Colombo,,,,,,,,,
267,26.1,Colombo,,,,,,,,,
268,26,Colombo,,,,,,,,,
269,25.6,Colombo,,,,,,,,,
270,25.4,Colombo,,,,,,,,,
271,24.6,Colombo,,,,,,,,,
272,25.5,Colombo,,,,,,,,,
273,25.9,Colombo,,,,,,,,,
274,24.7,Colombo,,,,,,,,,
275,25.7,Colombo,,,,,,,,,
276,27,Colombo,,,,,,,,,
277,26.5,Colombo,,,,,,,,,
278,26.3,Colombo,,,,,,,,,
279,26.3,Colombo,,,,,,,,,
280,26.2,Colombo,,,,,,,,,
281,26.3,Colombo,,,,,,,,,
282,26.9,Colombo,,,,,,,,,
283,26.7,Colombo,,,,,,,,,
284,26.7,Colombo,,,,,,,,,
285,26.8,Colombo,,,,,,,,,
286,26.7,Colombo,,,,,,,,,
287,26.7,Colombo,,,,,,,,,
288,26.5,Colombo,,,,,,,,,
289,26.3,Colombo,,,,,,,,,
290,26,Colombo,,,,,,,,,
291,26.6,Colombo,,,,,,,,,
292,26.1,Colombo,,,,,,,,,
293,26.3,Colombo,,,,,,,,,
294,26.4,Colombo,,,,,,,,,
295,26.5,Colombo,,,,,,,,,
296,26.7,Colombo,,,,,,,,,
297,26.5,Colombo,,,,,,,,,
298,26.5,Colombo,,,,,,,,,
299,25.8,Colombo,,,,,,,,,
300,25.4,Colombo,,,,,,,,,
301,25.6,Colombo,,,,,,,,,
302,25.7,Colombo,,,,,,,,,
303,25.3,Colombo,,,,,,,,,
304,26.3,Colombo,,,,,,,,,
305,26.5,Colombo,,,,,,,,,
306,26.7,Colombo,,,,,,,,,
307,25.7,Colombo,,,,,,,,,
308,25,Colombo,,,,,,,,,
309,25.4,Colombo,,,,,,,,,
310,26.3,Colombo,,,,,,,,,
311,26.4,Colombo,,,,,,,,,
312,26,Colombo,,,,,,,,,
313,25.2,Colombo,,,,,,,,,
314,25,Colombo,,,,,,,,,
315,26.5,Colombo,,,,,,,,,
316,26.3,Colombo,,,,,,,,,
317,26,Colombo,,,,,,,,,
318,26.3,Colombo,,,,,,,,,
319,25.6,Colombo,,,,,,,,,
320,25.4,Colombo,,,,,,,,,
321,25.9,Colombo,,,,,,,,,
322,25.6,Colombo,,,,,,,,,
323,25.6,Colombo,,,,,,,,,
324,24.7,Colombo,,,,,,,,,
325,25.4,Colombo,,,,,,,,,
326,24.9,Colombo,,,,,,,,,
327,25,Colombo,,,,,,,,,
328,25.5,Colombo,,,,,,,,,
329,25.1,Colombo,,,,,,,,,
330,25.6,Colombo,,,,,,,,,
331,25.3,Colombo,,,,,,,,,
332,25.8,Colombo,,,,,,,,,
333,25.5,Colombo,,,,,,,,,
334,24.8,Colombo,,,,,,,,,
335,25.2,Colombo,,,,,,,,,
336,24.4,Colombo,,,,,,,,,
337,24.8,Colombo,,,,,,,,,
338,24.9,Colombo,,,,,,,,,
339,25.1,Colombo,,,,,,,,,
340,24.6,Colombo,,,,,,,,,
341,25.2,Colombo,,,,,,,,,
342,24.1,Colombo,,,,,,,,,
343,25.2,Colombo,,,,,,,,,
344,25.8,Colombo,,,,,,,,,
345,25.9,Colombo,,,,,,,,,
346,25.1,Colombo,,,,,,,,,
347,25.4,Colombo,,,,,,,,,
348,25.8,Colombo,,,,,,,,,
349,25.3,Colombo,,,,,,,,,
350,26,Colombo,,,,,,,,,
351,26,Colombo,,,,,,,,,
352,25.9,Colombo,,,,,,,,,
353,25.7,Colombo,,,,,,,,,
354,25.5,Colombo,,,,,,,,,
355,24.5,Colombo,,,,,,,,,
356,24,Colombo,,,,,,,,,
357,22.9,Colombo,,,,,,,,,
358,23.6,Colombo,,,,,,,,,
359,24.6,Colombo,,,,,,,,,
360,24.2,Colombo,,,,,,,,,
361,24.3,Colombo,,,,,,,,,
362,25.3,Colombo,,,,,,,,,
363,25,Colombo,,,,,,,,,
364,24.3,Colombo,,,,,,,,,
365,24.7,Colombo,,,,,,,,,
366,24.6,Colombo,,,,,,,,,
367,25.2,Colombo,,,,,,,,,
368,24.4,Colombo,,,,,,,,,
369,24.4,Colombo,,,,,,,,,
370,24.6,Colombo,,,,,,,,,
371,24.5,Colombo,,,,,,,,,
372,24.9,Colombo,,,,,,,,,
373,24.4,Colombo,,,,,,,,,
374,24.1,Colombo,,,,,,,,,
375,24.6,Colombo,,,,,,,,,
376,23.6,Colombo,,,,,,,,,
377,21.2,Colombo,,,,,,,,,
378,23.8,Colombo,,,,,,,,,
379,24.9,Colombo,,,,,,,,,
380,25.3,Colombo,,,,,,,,,
381,25.4,Colombo,,,,,,,,,
382,25.4,Colombo,,,,,,,,,
383,24.9,Colombo,,,,,,,,,
384,24.5,Colombo,,,,,,,,,
385,24.8,Colombo,,,,,,,,,
386,25.5,Colombo,,,,,,,,,
387,25.3,Colombo,,,,,,,,,
388,25.7,Colombo,,,,,,,,,
389,26,Colombo,,,,,,,,,
390,25.7,Colombo,,,,,,,,,
391,25.6,Colombo,,,,,,,,,
392,25.3,Colombo,,,,,,,,,
393,25.4,Colombo,,,,,,,,,
394,25.8,Colombo,,,,,,,,,
395,24.8,Colombo,,,,,,,,,
396,24.3,Colombo,,,,,,,,,
397,23.4,Colombo,,,,,,,,,
398,23.3,Colombo,,,,,,,,,
399,23.3,Colombo,,,,,,,,,
400,24,Colombo,,,,,,,,,
401,24.9,Colombo,,,,,,,,,
402,24.2,Colombo,,,,,,,,,
403,25.4,Colombo,,,,,,,,,
404,26,Colombo,,,,,,,,,
405,25.5,Colombo,,,,,,,,,
406,25.6,Colombo,,,,,,,,,
407,25.5,Colombo,,,,,,,,,
408,25.6,Colombo,,,,,,,,,
409,25.9,Colombo,,,,,,,,,
410,25.9,Colombo,,,,,,,,,
411,25.7,Colombo,,,,,,,,,
412,26.4,Colombo,,,,,,,,,
413,26.8,Colombo,,,,,,,,,
414,26.2,Colombo,,,,,,,,,
415,26.2,Colombo,,,,,,,,,
416,25.8,Colombo,,,,,,,,,
417,26.2,Colombo,,,,,,,,,
418,26.7,Colombo,,,,,,,,,
419,26.7,Colombo,,,,,,,,,
420,26.4,Colombo,,,,,,,,,
421,26.1,Colombo,,,,,,,,,
422,26.6,Colombo,,,,,,,,,
423,26.3,Colombo,,,,,,,,,
424,26.4,Colombo,,,,,,,,,
425,27,Colombo,,,,,,,,,
426,26.2,Colombo,,,,,,,,,
427,26.1,Colombo,,,,,,,,,
428,25.9,Colombo,,,,,,,,,
429,26.3,Colombo,,,,,,,,,
430,26.4,Colombo,,,,,,,,,
431,26.3,Colombo,,,,,,,,,
432,26.5,Colombo,,,,,,,,,
433,26.6,Colombo,,,,,,,,,
434,26.2,Colombo,,,,,,,,,
435,26.7,Colombo,,,,,,,,,
436,26.6,Colombo,,,,,,,,,
437,27,Colombo,,,,,,,,,
438,27.5,Colombo,,,,,,,,,
439,27.7,Colombo,,,,,,,,,
440,27.9,Colombo,,,,,,,,,
441,27.4,Colombo,,,,,,,,,
442,27.5,Colombo,,,,,,,,,
443,27.1,Colombo,,,,,,,,,
444,26.8,Colombo,,,,,,,,,
445,27,Colombo,,,,,,,,,
446,27,Colombo,,,,,,,,,
447,26.6,Colombo,,,,,,,,,
448,27,Colombo,,,,,,,,,
449,26.5,Colombo,,,,,,,,,
450,27,Colombo,,,,,,,,,
451,26.7,Colombo,,,,,,,,,
452,26.8,Colombo,,,,,,,,,
453,27.2,Colombo,,,,,,,,,
454,27.2,Colombo,,,,,,,,,
455,27.5,Colombo,,,,,,,,,
456,27.5,Colombo,,,,,,,,,
457,27.2,Colombo,,,,,,,,,
458,26.9,Colombo,,,,,,,,,
459,26.8,Colombo,,,,,,,,,
460,27.2,Colombo,,,,,,,,,
461,27.1,Colombo,,,,,,,,,
462,27.2,Colombo,,,,,,,,,
463,26.9,Colombo,,,,,,,,,
464,27.2,Colombo,,,,,,,,,
465,26.5,Colombo,,,,,,,,,
466,26,Colombo,,,,,,,,,
467,26.7,Colombo,,,,,,,,,
468,26.6,Colombo,,,,,,,,,
469,26.9,Colombo,,,,,,,,,
470,26.6,Colombo,,,,,,,,,
471,26.8,Colombo,,,,,,,,,
472,26.5,Colombo,,,,,,,,,
473,26.2,Colombo,,,,,,,,,
474,26.4,Colombo,,,,,,,,,
475,27,Colombo,,,,,,,,,
476,25.9,Colombo,,,,,,,,,
477,25.5,Colombo,,,,,,,,,
478,26.2,Colombo,,,,,,,,,
479,25.9,Colombo,,,,,,,,,
480,26.2,Colombo,,,,,,,,,
481,26.5,Colombo,,,,,,,,,
482,26.1,Colombo,,,,,,,,,
483,27.5,Colombo,,,,,,,,,
484,26.7,Colombo,,,,,,,,,
485,26.3,Colombo,,,,,,,,,
486,26.5,Colombo,,,,,,,,,
487,26.9,Colombo,,,,,,,,,
488,27.5,Colombo,,,,,,,,,
489,27,Colombo,,,,,,,,,
490,27.1,Colombo,,,,,,,,,
491,27.7,Colombo,,,,,,,,,
492,27.7,Colombo,,,,,,,,,
493,26.7,Colombo,,,,,,,,,
494,26.6,Colombo,,,,,,,,,
495,26.8,Colombo,,,,,,,,,
496,26.6,Colombo,,,,,,,,,
497,27.2,Colombo,,,,,,,,,
498,27.3,Colombo,,,,,,,,,
499,27.1,Colombo,,,,,,,,,
500,27.6,Colombo,,,,,,,,,
501,27,Colombo,,,,,,,,,
502,27.3,Colombo,,,,,,,,,
503,27.4,Colombo,,,,,,,,,
504,27.1,Colombo,,,,,,,,,
505,26.8,Colombo,,,,,,,,,
506,26.7,Colombo,,,,,,,,,
507,27.2,Colombo,,,,,,,,,
508,26.7,Colombo,,,,,,,,,
509,26.3,Colombo,,,,,,,,,
510,26.4,Colombo,,,,,,,,,
511,26.6,Colombo,,,,,,,,,
512,26.3,Colombo,,,,,,,,,
513,26.8,Colombo,,,,,,,,,
514,26.4,Colombo,,,,,,,,,
515,26.3,Colombo,,,,,,,,,
516,26.4,Colombo,,,,,,,,,
517,27.3,Colombo,,,,,,,,,
518,26.8,Colombo,,,,,,,,,
519,26.6,Colombo,,,,,,,,,
520,27,Colombo,,,,,,,,,
521,26.2,Colombo,,,,,,,,,
522,26.9,Colombo,,,,,,,,,
523,26.8,Colombo,,,,,,,,,
524,26.4,Colombo,,,,,,,,,
525,27,Colombo,,,,,,,,,
526,27.1,Colombo,,,,,,,,,
527,27.1,Colombo,,,,,,,,,
528,26.3,Colombo,,,,,,,,,
529,26.1,Colombo,,,,,,,,,
530,26.4,Colombo,,,,,,,,,
531,26.6,Colombo,,,,,,,,,
532,26.7,Colombo,,,,,,,,,
533,27.4,Colombo,,,,,,,,,
534,27.4,Colombo,,,,,,,,,
535,27.2,Colombo,,,,,,,,,
536,27.5,Colombo,,,,,,,,,
