,rain_sum,temperature_2m_mean,city,,,,,,,,
24738,12.8,25.5,Ratnapura,,,,,,,,
24739,21.8,24.8,Ratnapura,,,,,,,,
24740,44.3,24.6,Ratnapura,,,,,,,,
24741,16.8,24.6,Ratnapura,,,,,,,,
24742,11.3,25.1,Ratnapura,,,,,,,,
24743,8.7,25.1,Ratnapura,,,,,,,,
24744,7.5,25.1,Ratnapura,,,,,,,,
24745,2.7,25.9,Ratnapura,,,,,,,,
24746,4.1,25.7,Ratnapura,,,,,,,,
24747,6.2,25.3,Ratnapura,,,,,,,,
24748,9.8,25.3,Ratnapura,,,,,,,,
24749,9.8,25.4,Ratnapura,,,,,,,,
24750,7,25.4,Ratnapura,,,,,,,,
24751,10.9,25.3,Ratnapura,,,,,,,,
24752,9.8,25.3,Ratnapura,,,,,,,,
24753,16.4,24.8,Ratnapura,,,,,,,,
24754,16.7,25.3,Ratnapura,,,,,,,,
24755,4.8,25.6,Ratnapura,,,,,,,,
24756,7.5,25.2,Ratnapura,,,,,,,,
24757,10,25.4,Ratnapura,,,,,,,,
24758,30.3,24.6,Ratnapura,,,,,,,,
24759,22.9,25,Ratnapura,,,,,,,,
24760,9.5,25,Ratnapura,,,,,,,,
24761,12.6,24.3,Ratnapura,,,,,,,,
24762,4.3,24.6,Ratnapura,,,,,,,,
24763,6.1,24.8,Ratnapura,,,,,,,,
24764,4.2,24.9,Ratnapura,,,,,,,,
24765,18.2,24.2,Ratnapura,,,,,,,,
24766,0.6,25,Ratnapura,,,,,,,,
24767,2.3,25.8,Ratnapura,,,,,,,,
24768,11.3,25.4,Ratnapura,,,,,,,,
24769,4.8,25.7,Ratnapura,,,,,,,,
24770,5.1,25.9,Ratnapura,,,,,,,,
24771,1.5,25.6,Ratnapura,,,,,,,,
24772,15.7,24.7,Ratnapura,,,,,,,,
24773,6.3,24.6,Ratnapura,,,,,,,,
24774,11,24.6,Ratnapura,,,,,,,,
24775,9.4,24.6,Ratnapura,,,,,,,,
24776,14.7,24,Ratnapura,,,,,,,,
24777,13,24.6,Ratnapura,,,,,,,,
24778,7,24.9,Ratnapura,,,,,,,,
24779,16.3,24.5,Ratnapura,,,,,,,,
24780,6.8,24.3,Ratnapura,,,,,,,,
24781,3.1,25.3,Ratnapura,,,,,,,,
24782,1.6,25.3,Ratnapura,,,,,,,,
24783,3.1,24.9,Ratnapura,,,,,,,,
24784,6.7,25,Ratnapura,,,,,,,,
24785,5,24.8,Ratnapura,,,,,,,,
24786,2.6,25.3,Ratnapura,,,,,,,,
24787,10.3,25.2,Ratnapura,,,,,,,,
24788,10,25,Ratnapura,,,,,,,,
24789,3.1,25.2,Ratnapura,,,,,,,,
24790,6.3,24.7,Ratnapura,,,,,,,,
24791,2.5,25.4,Ratnapura,,,,,,,,
24792,1,25.5,Ratnapura,,,,,,,,
24793,3.3,25.3,Ratnapura,,,,,,,,
24794,13.5,24.2,Ratnapura,,,,,,,,
24795,2.1,24.7,Ratnapura,,,,,,,,
24796,4.4,25.1,Ratnapura,,,,,,,,
24797,4.3,24.6,Ratnapura,,,,,,,,
24798,2.6,24.7,Ratnapura,,,,,,,,
24799,7,24.8,Ratnapura,,,,,,,,
24800,14.5,24.5,Ratnapura,,,,,,,,
24801,2,25.6,Ratnapura,,,,,,,,
24802,2.7,25.4,Ratnapura,,,,,,,,
24803,9.9,24.7,Ratnapura,,,,,,,,
24804,24.3,24.2,Ratnapura,,,,,,,,
24805,9.4,25,Ratnapura,,,,,,,,
24806,6.3,24.2,Ratnapura,,,,,,,,
24807,7.1,24.2,Ratnapura,,,,,,,,
24808,2.9,24.7,Ratnapura,,,,,,,,
24809,2.2,24.6,Ratnapura,,,,,,,,
24810,1.5,25,Ratnapura,,,,,,,,
24811,14.7,24.4,Ratnapura,,,,,,,,
24812,5.8,23.7,Ratnapura,,,,,,,,
24813,3.1,24.5,Ratnapura,,,,,,,,
24814,7.8,24.7,Ratnapura,,,,,,,,
24815,9,24.4,Ratnapura,,,,,,,,
24816,5,24.3,Ratnapura,,,,,,,,
24817,4.6,24.4,Ratnapura,,,,,,,,
24818,1.4,24.6,Ratnapura,,,,,,,,
24819,9,24.6,Ratnapura,,,,,,,,
24820,30.5,23.8,Ratnapura,,,,,,,,
24821,22.6,23.4,Ratnapura,,,,,,,,
24822,0,23.9,Ratnapura,,,,,,,,
24823,0,24.8,Ratnapura,,,,,,,,
24824,0.8,24.8,Ratnapura,,,,,,,,
24825,2.7,24.9,Ratnapura,,,,,,,,
24826,3.8,24.6,Ratnapura,,,,,,,,
24827,1.4,25,Ratnapura,,,,,,,,
24828,4.6,24.7,Ratnapura,,,,,,,,
24829,1.4,24.7,Ratnapura,,,,,,,,
24830,5.8,25,Ratnapura,,,,,,,,
24831,7.6,24.9,Ratnapura,,,,,,,,
24832,8.3,24.6,Ratnapura,,,,,,,,
24833,0.7,25.4,Ratnapura,,,,,,,,
24834,5.1,24.9,Ratnapura,,,,,,,,
24835,7.7,24.6,Ratnapura,,,,,,,,
24836,8.3,24.6,Ratnapura,,,,,,,,
24837,9.5,24.5,Ratnapura,,,,,,,,
24838,8.7,24.7,Ratnapura,,,,,,,,
24839,3.8,25.2,Ratnapura,,,,,,,,
24840,33.1,24.2,Ratnapura,,,,,,,,
24841,14,24.2,Ratnapura,,,,,,,,
24842,3.4,24.8,Ratnapura,,,,,,,,
24843,12.2,24.5,Ratnapura,,,,,,,,
24844,17.8,24.6,Ratnapura,,,,,,,,
24845,20.3,24.3,Ratnapura,,,,,,,,
24846,41.9,23.9,Ratnapura,,,,,,,,
24847,8.4,24.5,Ratnapura,,,,,,,,
24848,6.7,24.9,Ratnapura,,,,,,,,
24849,22.8,24.7,Ratnapura,,,,,,,,
24850,14,24.1,Ratnapura,,,,,,,,
24851,19.7,23.3,Ratnapura,,,,,,,,
24852,8.2,23.9,Ratnapura,,,,,,,,
24853,31,24.6,Ratnapura,,,,,,,,
24854,38.2,23.6,Ratnapura,,,,,,,,
24855,20.1,24.2,Ratnapura,,,,,,,,
24856,4.8,25.3,Ratnapura,,,,,,,,
24857,7.2,24.9,Ratnapura,,,,,,,,
24858,6.3,24.5,Ratnapura,,,,,,,,
24859,10.8,24.6,Ratnapura,,,,,,,,
24860,11,24.8,Ratnapura,,,,,,,,
24861,11.9,24.4,Ratnapura,,,,,,,,
24862,4.1,25.1,Ratnapura,,,,,,,,
24863,5.4,24.8,Ratnapura,,,,,,,,
