index,rain_sum,city,,,,,,,
441,0,Colombo,,,,,,,
442,0.2,Colombo,,,,,,,
443,6.7,Colombo,,,,,,,
444,1.8,Colombo,,,,,,,
445,2.2,Colombo,,,,,,,
446,2,Colombo,,,,,,,
447,1.3,Colombo,,,,,,,
448,6.4,Colombo,,,,,,,
449,2.8,Colombo,,,,,,,
450,1,Colombo,,,,,,,
451,3.2,Colombo,,,,,,,
452,5.3,Colombo,,,,,,,
453,3,Colombo,,,,,,,
454,0.3,Colombo,,,,,,,
455,1.2,Colombo,,,,,,,
456,2.8,Colombo,,,,,,,
457,1.4,Colombo,,,,,,,
458,4.3,Colombo,,,,,,,
459,4.3,Colombo,,,,,,,
460,1.4,Colombo,,,,,,,
461,4.8,Colombo,,,,,,,
462,0.6,Colombo,,,,,,,
463,3.7,Colombo,,,,,,,
464,5.6,Colombo,,,,,,,
465,28.6,Colombo,,,,,,,
466,25.6,Colombo,,,,,,,
467,19.4,Colombo,,,,,,,
468,3.8,Colombo,,,,,,,
469,3.6,Colombo,,,,,,,
470,15.6,Colombo,,,,,,,
471,3,Colombo,,,,,,,
472,9.1,Colombo,,,,,,,
473,10.3,Colombo,,,,,,,
474,9.8,Colombo,,,,,,,
475,2.3,Colombo,,,,,,,
476,18.4,Colombo,,,,,,,
477,19,Colombo,,,,,,,
478,15.3,Colombo,,,,,,,
479,8,Colombo,,,,,,,
480,14.4,Colombo,,,,,,,
481,12,Colombo,,,,,,,
482,16.7,Colombo,,,,,,,
483,3.3,Colombo,,,,,,,
484,9.2,Colombo,,,,,,,
485,5.3,Colombo,,,,,,,
486,11.6,Colombo,,,,,,,
487,4.3,Colombo,,,,,,,
488,3,Colombo,,,,,,,
489,11.2,Colombo,,,,,,,
490,5.5,Colombo,,,,,,,
491,5.3,Colombo,,,,,,,
492,5.3,Colombo,,,,,,,
493,4.2,Colombo,,,,,,,
494,3.3,Colombo,,,,,,,
495,5.1,Colombo,,,,,,,
496,12.9,Colombo,,,,,,,
497,1.9,Colombo,,,,,,,
498,3.2,Colombo,,,,,,,
499,2.5,Colombo,,,,,,,
500,4.3,Colombo,,,,,,,
501,3.1,Colombo,,,,,,,
502,0.4,Colombo,,,,,,,
503,0.8,Colombo,,,,,,,
504,2.9,Colombo,,,,,,,
505,4.6,Colombo,,,,,,,
506,7.7,Colombo,,,,,,,
507,8.1,Colombo,,,,,,,
508,7.2,Colombo,,,,,,,
509,11.5,Colombo,,,,,,,
510,16.5,Colombo,,,,,,,
511,6,Colombo,,,,,,,
512,21.1,Colombo,,,,,,,
513,6.4,Colombo,,,,,,,
514,12.1,Colombo,,,,,,,
515,19.6,Colombo,,,,,,,
516,15,Colombo,,,,,,,
517,2.5,Colombo,,,,,,,
518,6.1,Colombo,,,,,,,
519,9.4,Colombo,,,,,,,
520,4.2,Colombo,,,,,,,
521,12.1,Colombo,,,,,,,
522,6.6,Colombo,,,,,,,
523,3.7,Colombo,,,,,,,
524,10.1,Colombo,,,,,,,
525,1.5,Colombo,,,,,,,
526,2,Colombo,,,,,,,
527,3,Colombo,,,,,,,
528,7.1,Colombo,,,,,,,
529,16.4,Colombo,,,,,,,
530,10.4,Colombo,,,,,,,
531,7.1,Colombo,,,,,,,
532,6,Colombo,,,,,,,
533,2.4,Colombo,,,,,,,
534,2,Colombo,,,,,,,
535,2.1,Colombo,,,,,,,
536,2.5,Colombo,,,,,,,
537,0.6,Colombo,,,,,,,
538,3.6,Colombo,,,,,,,
539,2.6,Colombo,,,,,,,
540,6.7,Colombo,,,,,,,
541,2.3,Colombo,,,,,,,
542,11,Colombo,,,,,,,
543,1.5,Colombo,,,,,,,
544,1.7,Colombo,,,,,,,
545,3.1,Colombo,,,,,,,
546,2.4,Colombo,,,,,,,
547,1.9,Colombo,,,,,,,
548,2.9,Colombo,,,,,,,
549,5.7,Colombo,,,,,,,
550,15,Colombo,,,,,,,
551,3.1,Colombo,,,,,,,
552,4.2,Colombo,,,,,,,
553,11.4,Colombo,,,,,,,
554,4.3,Colombo,,,,,,,
555,6.9,Colombo,,,,,,,
556,13.8,Colombo,,,,,,,
557,21.5,Colombo,,,,,,,
558,13.8,Colombo,,,,,,,
559,7.2,Colombo,,,,,,,
560,6.3,Colombo,,,,,,,
561,13.8,Colombo,,,,,,,
562,14.1,Colombo,,,,,,,
563,7.1,Colombo,,,,,,,
564,6.8,Colombo,,,,,,,
565,11.6,Colombo,,,,,,,
566,5.9,Colombo,,,,,,,
567,5.3,Colombo,,,,,,,
568,3.9,Colombo,,,,,,,
569,14,Colombo,,,,,,,
570,18,Colombo,,,,,,,
571,17,Colombo,,,,,,,
572,8.3,Colombo,,,,,,,
573,4.3,Colombo,,,,,,,
574,3.2,Colombo,,,,,,,
575,2.1,Colombo,,,,,,,
576,1.3,Colombo,,,,,,,
577,1.4,Colombo,,,,,,,
578,3.2,Colombo,,,,,,,
579,7,Colombo,,,,,,,
